expression	answer	group	answer_index
9 * 2	18.0	50	9
5 / 3	1.6666666666666667	50	9
8 / 8	1.0	50	9
3 - 7	-4.0	50	9
3 / 8	0.375	50	9
1 - 7	-6.0	51	7
7 + 3	10.0	51	7
1 * 5	5.0	51	7
7 / 2	3.5	51	7
5 + 9	14.0	51	7
4 - 9	-5.0	51	7
5 - 1	4.0	51	7
4 * 4	16.0	51	7
5 * 7	35.0	51	7
2 - 9	-7.0	51	7
8 + 4	12.0	52	18
2 + 2	4.0	52	18
3 - 8	-5.0	52	18
8 + 8	16.0	52	18
8 - 2	6.0	52	18
1 / 4	0.25	52	18
9 - 6	3.0	52	18
2 - 2	0.0	52	18
2 * 5	10.0	52	18
8 - 8	0.0	52	18
6 + 3	9.0	53	8
6 - 5	1.0	53	8
3 * 9	27.0	53	8
4 - 5	-1.0	53	8
3 - 5	-2.0	53	8
4 - 8	-4.0	53	8
1 - 4	-3.0	53	8
2 * 2	4.0	53	8
2 * 6	12.0	53	8
8 - 8	0.0	53	8
6 + 9	15.0	54	10
8 - 8	0.0	54	10
1 / 3	0.3333333333333333	54	10
3 / 7	0.4285714285714285	54	10
2 / 1	2.0	54	10
2 - 6	-4.0	54	10
9 + 4	13.0	54	10
4 / 6	0.6666666666666666	54	10
3 / 9	0.3333333333333333	54	10
9 + 5	14.0	54	10
8 + 9	17.0	55	13
6 * 3	18.0	55	13
9 - 5	4.0	55	13
1 * 2	2.0	55	13
9 - 1	8.0	55	13
2 + 1	3.0	55	13
9 / 5	1.8	55	13
9 + 2	11.0	55	13
8 * 2	16.0	55	13
4 - 8	-4.0	55	13
3 - 7	-4.0	56	13
5 + 3	8.0	56	13
6 + 5	11.0	56	13
4 + 3	7.0	56	13
1 * 8	8.0	56	13
4 / 4	1.0	56	13
5 / 2	2.5	56	13
8 * 3	24.0	56	13
4 / 8	0.5	56	13
6 + 7	13.0	56	13
7 + 8	15.0	57	15
9 / 1	9.0	57	15
8 + 6	14.0	57	15
2 + 5	7.0	57	15
2 + 1	3.0	57	15
4 * 6	24.0	57	15
9 + 1	10.0	57	15
9 - 7	2.0	57	15
4 - 6	-2.0	57	15
8 * 6	48.0	57	15
8 - 3	5.0	58	9
4 * 6	24.0	58	9
3 + 1	4.0	58	9
2 * 4	8.0	58	9
4 / 4	1.0	58	9
8 + 9	17.0	58	9
6 / 9	0.6666666666666666	58	9
7 / 1	7.0	58	9
7 + 8	15.0	58	9
1 * 1	1.0	58	9
2 * 8	16.0	59	8
9 - 3	6.0	59	8
2 * 6	12.0	59	8
5 - 4	1.0	59	8
6 - 7	-1.0	59	8
7 / 6	1.1666666666666667	59	8
3 * 1	3.0	59	8
8 + 6	14.0	59	8
1 + 8	9.0	59	8
3 + 8	11.0	59	8
5 * 2	10.0	60	4
1 * 1	1.0	60	4
9 + 2	11.0	60	4
1 - 1	0.0	60	4
7 / 1	7.0	60	4
8 * 6	48.0	60	4
5 / 8	0.625	60	4
5 - 8	-3.0	60	4
4 - 7	-3.0	60	4
7 + 9	16.0	60	4
4 + 4	8.0	61	15
6 - 4	2.0	61	15
1 + 3	4.0	61	15
6 - 9	-3.0	61	15
4 * 6	24.0	61	15
7 / 6	1.1666666666666667	61	15
9 - 4	5.0	61	15
9 * 1	9.0	61	15
6 * 3	18.0	61	15
6 - 5	1.0	61	15
4 + 3	7.0	62	15
5 * 4	20.0	62	15
3 / 6	0.5	62	15
1 / 1	1.0	62	15
6 / 5	1.2	62	15
8 / 2	4.0	62	15
2 + 8	10.0	62	15
4 + 2	6.0	62	15
2 + 8	10.0	62	15
1 / 7	0.1428571428571428	62	15
7 - 3	4.0	63	2
7 - 2	5.0	63	2
3 + 5	8.0	63	2
7 + 7	14.0	63	2
7 + 6	13.0	63	2
4 * 8	32.0	63	2
5 * 6	30.0	63	2
6 / 4	1.5	63	2
3 - 6	-3.0	63	2
8 / 6	1.3333333333333333	63	2
6 * 7	42.0	64	8
9 / 2	4.5	64	8
3 * 1	3.0	64	8
9 / 1	9.0	64	8
3 * 5	15.0	64	8
5 + 6	11.0	64	8
6 + 7	13.0	64	8
7 - 8	-1.0	64	8
7 * 4	28.0	64	8
4 - 7	-3.0	64	8
5 + 3	8.0	65	9
2 - 8	-6.0	65	9
9 / 4	2.25	65	9
8 - 3	5.0	65	9
6 * 2	12.0	65	9
3 / 6	0.5	65	9
1 - 7	-6.0	65	9
6 + 9	15.0	65	9
4 - 5	-1.0	65	9
6 * 8	48.0	65	9
6 * 6	36.0	66	0
7 / 4	1.75	66	0
5 + 4	9.0	66	0
8 + 7	15.0	66	0
1 * 5	5.0	66	0
2 + 2	4.0	66	0
1 - 7	-6.0	66	0
9 + 3	12.0	66	0
1 / 2	0.5	66	0
5 * 7	35.0	66	0
3 / 6	0.5	67	15
5 + 5	10.0	67	15
3 / 2	1.5	67	15
5 - 5	0.0	67	15
2 - 6	-4.0	67	15
8 - 6	2.0	67	15
8 / 2	4.0	67	15
1 + 6	7.0	67	15
5 + 6	11.0	67	15
6 + 9	15.0	67	15
9 * 3	27.0	68	9
8 - 8	0.0	68	9
2 + 8	10.0	68	9
7 / 3	2.333333333333333	68	9
7 - 5	2.0	68	9
3 + 3	6.0	68	9
6 / 9	0.6666666666666666	68	9
8 / 7	1.1428571428571428	68	9
7 / 3	2.333333333333333	68	9
2 * 4	8.0	68	9
6 / 5	1.2	69	13
6 + 5	11.0	69	13
9 * 4	36.0	69	13
1 / 5	0.2	69	13
6 + 2	8.0	69	13
6 - 3	3.0	69	13
1 / 9	0.1111111111111111	69	13
1 + 6	7.0	69	13
7 / 9	0.7777777777777778	69	13
5 + 2	7.0	69	13
6 / 4	1.5	70	8
5 / 1	5.0	70	8
5 - 8	-3.0	70	8
8 + 4	12.0	70	8
8 * 1	8.0	70	8
8 * 4	32.0	70	8
7 / 5	1.4	70	8
2 / 1	2.0	70	8
5 * 5	25.0	70	8
3 / 5	0.6	70	8
4 - 6	-2.0	71	12
5 * 2	10.0	71	12
7 * 4	28.0	71	12
4 * 3	12.0	71	12
3 - 3	0.0	71	12
9 - 1	8.0	71	12
4 * 8	32.0	71	12
5 * 1	5.0	71	12
4 + 3	7.0	71	12
1 * 2	2.0	71	12
8 + 3	11.0	72	6
5 / 4	1.25	72	6
6 + 3	9.0	72	6
9 + 5	14.0	72	6
5 - 2	3.0	72	6
3 + 5	8.0	72	6
5 / 9	0.5555555555555556	72	6
8 - 6	2.0	72	6
9 / 5	1.8	72	6
2 * 5	10.0	72	6
2 - 7	-5.0	73	17
5 / 4	1.25	73	17
6 / 5	1.2	73	17
3 * 5	15.0	73	17
5 / 7	0.7142857142857143	73	17
6 / 4	1.5	73	17
9 * 5	45.0	73	17
5 + 4	9.0	73	17
9 - 7	2.0	73	17
2 - 3	-1.0	73	17
2 - 7	-5.0	74	0
2 + 6	8.0	74	0
5 / 3	1.6666666666666667	74	0
1 * 7	7.0	74	0
4 + 5	9.0	74	0
8 + 1	9.0	74	0
2 * 6	12.0	74	0
3 + 3	6.0	74	0
4 + 8	12.0	74	0
4 / 3	1.3333333333333333	74	0
4 * 6	24.0	75	19
8 / 3	2.6666666666666665	75	19
9 + 7	16.0	75	19
1 / 8	0.125	75	19
1 / 4	0.25	75	19
9 + 9	18.0	75	19
9 - 2	7.0	75	19
6 - 6	0.0	75	19
7 + 7	14.0	75	19
4 + 5	9.0	75	19
4 * 8	32.0	76	19
1 / 4	0.25	76	19
6 + 9	15.0	76	19
7 / 9	0.7777777777777778	76	19
8 / 4	2.0	76	19
4 * 7	28.0	76	19
5 / 6	0.8333333333333334	76	19
3 / 2	1.5	76	19
3 / 8	0.375	76	19
4 * 9	36.0	76	19
7 + 3	10.0	77	8
3 + 1	4.0	77	8
6 - 9	-3.0	77	8
2 / 4	0.5	77	8
5 / 8	0.625	77	8
6 - 5	1.0	77	8
6 - 1	5.0	77	8
1 * 3	3.0	77	8
3 * 9	27.0	77	8
5 - 4	1.0	77	8
7 * 3	21.0	78	19
1 * 4	4.0	78	19
1 - 2	-1.0	78	19
8 + 7	15.0	78	19
1 / 6	0.1666666666666666	78	19
9 - 6	3.0	78	19
4 + 2	6.0	78	19
9 + 8	17.0	78	19
2 + 6	8.0	78	19
8 / 4	2.0	78	19
8 - 6	2.0	79	13
6 * 3	18.0	79	13
3 + 6	9.0	79	13
2 / 5	0.4	79	13
7 * 3	21.0	79	13
5 * 8	40.0	79	13
5 * 8	40.0	79	13
9 - 4	5.0	79	13
9 - 2	7.0	79	13
9 / 7	1.2857142857142858	79	13
3 - 8	-5.0	80	0
3 / 1	3.0	80	0
7 + 5	12.0	80	0
4 / 3	1.3333333333333333	80	0
3 - 2	1.0	80	0
3 * 8	24.0	80	0
8 + 4	12.0	80	0
8 / 1	8.0	80	0
4 / 7	0.5714285714285714	80	0
8 - 4	4.0	80	0
3 - 3	0.0	81	15
6 - 6	0.0	81	15
3 * 9	27.0	81	15
9 + 5	14.0	81	15
5 * 8	40.0	81	15
6 * 4	24.0	81	15
6 + 3	9.0	81	15
7 - 2	5.0	81	15
5 - 1	4.0	81	15
1 - 6	-5.0	81	15
4 * 5	20.0	82	19
1 - 5	-4.0	82	19
7 - 1	6.0	82	19
7 + 6	13.0	82	19
7 + 3	10.0	82	19
1 / 6	0.1666666666666666	82	19
6 + 1	7.0	82	19
9 / 7	1.2857142857142858	82	19
7 + 9	16.0	82	19
9 - 7	2.0	82	19
2 + 2	4.0	83	14
2 * 9	18.0	83	14
6 + 7	13.0	83	14
3 + 7	10.0	83	14
8 / 6	1.3333333333333333	83	14
9 + 3	12.0	83	14
8 * 6	48.0	83	14
7 - 5	2.0	83	14
7 * 2	14.0	83	14
7 * 6	42.0	83	14
3 + 5	8.0	84	10
6 - 2	4.0	84	10
1 / 5	0.2	84	10
3 * 4	12.0	84	10
1 * 9	9.0	84	10
5 * 9	45.0	84	10
6 - 4	2.0	84	10
6 + 7	13.0	84	10
6 * 1	6.0	84	10
2 * 1	2.0	84	10
6 - 1	5.0	85	11
6 * 2	12.0	85	11
4 - 2	2.0	85	11
8 / 1	8.0	85	11
5 * 7	35.0	85	11
5 + 1	6.0	85	11
4 / 5	0.8	85	11
3 / 5	0.6	85	11
9 / 6	1.5	85	11
1 - 6	-5.0	85	11
1 - 4	-3.0	86	18
6 / 4	1.5	86	18
2 - 9	-7.0	86	18
8 + 2	10.0	86	18
3 - 5	-2.0	86	18
1 / 2	0.5	86	18
2 - 5	-3.0	86	18
4 - 4	0.0	86	18
3 * 8	24.0	86	18
9 / 3	3.0	86	18
3 + 3	6.0	87	17
6 / 4	1.5	87	17
1 - 6	-5.0	87	17
1 - 7	-6.0	87	17
7 + 5	12.0	87	17
2 + 9	11.0	87	17
3 * 2	6.0	87	17
6 + 1	7.0	87	17
4 / 5	0.8	87	17
7 + 3	10.0	87	17
1 / 7	0.1428571428571428	88	13
7 - 4	3.0	88	13
6 + 3	9.0	88	13
3 - 7	-4.0	88	13
4 + 2	6.0	88	13
6 + 7	13.0	88	13
3 + 1	4.0	88	13
2 * 6	12.0	88	13
2 / 3	0.6666666666666666	88	13
2 * 5	10.0	88	13
1 / 3	0.3333333333333333	89	11
3 - 6	-3.0	89	11
6 / 2	3.0	89	11
4 / 4	1.0	89	11
4 / 7	0.5714285714285714	89	11
6 + 3	9.0	89	11
4 * 4	16.0	89	11
6 / 1	6.0	89	11
6 / 9	0.6666666666666666	89	11
3 - 7	-4.0	89	11
5 / 4	1.25	90	0
5 * 3	15.0	90	0
8 / 2	4.0	90	0
2 / 5	0.4	90	0
3 / 5	0.6	90	0
7 - 5	2.0	90	0
7 / 4	1.75	90	0
5 + 6	11.0	90	0
8 - 7	1.0	90	0
4 * 5	20.0	90	0
9 + 8	17.0	91	9
8 + 3	11.0	91	9
3 / 3	1.0	91	9
8 - 2	6.0	91	9
5 - 8	-3.0	91	9
3 / 2	1.5	91	9
2 / 8	0.25	91	9
2 - 3	-1.0	91	9
2 + 3	5.0	91	9
9 - 5	4.0	91	9
5 - 8	-3.0	92	7
7 + 4	11.0	92	7
7 - 6	1.0	92	7
3 - 9	-6.0	92	7
6 + 4	10.0	92	7
7 - 7	0.0	92	7
1 / 4	0.25	92	7
8 - 6	2.0	92	7
7 + 9	16.0	92	7
1 + 2	3.0	92	7
1 * 4	4.0	93	10
8 / 8	1.0	93	10
3 - 8	-5.0	93	10
3 + 2	5.0	93	10
3 / 2	1.5	93	10
8 - 2	6.0	93	10
4 - 7	-3.0	93	10
9 * 2	18.0	93	10
8 * 6	48.0	93	10
7 / 9	0.7777777777777778	93	10
4 + 2	6.0	94	11
2 * 1	2.0	94	11
1 / 1	1.0	94	11
4 + 4	8.0	94	11
9 * 3	27.0	94	11
1 * 2	2.0	94	11
6 + 8	14.0	94	11
2 + 8	10.0	94	11
8 - 6	2.0	94	11
5 + 3	8.0	94	11
1 + 6	7.0	95	17
8 + 4	12.0	95	17
4 / 5	0.8	95	17
3 + 8	11.0	95	17
4 + 2	6.0	95	17
7 / 2	3.5	95	17
8 + 6	14.0	95	17
1 - 7	-6.0	95	17
5 - 2	3.0	95	17
1 * 1	1.0	95	17
1 - 8	-7.0	96	6
7 / 9	0.7777777777777778	96	6
5 / 4	1.25	96	6
3 * 5	15.0	96	6
8 / 5	1.6	96	6
2 - 3	-1.0	96	6
9 - 1	8.0	96	6
5 + 4	9.0	96	6
2 * 8	16.0	96	6
2 + 1	3.0	96	6
5 * 4	20.0	97	6
5 / 3	1.6666666666666667	97	6
1 * 9	9.0	97	6
8 - 4	4.0	97	6
8 * 4	32.0	97	6
9 / 3	3.0	97	6
3 + 2	5.0	97	6
8 - 3	5.0	97	6
7 / 3	2.333333333333333	97	6
4 / 3	1.3333333333333333	97	6
1 * 1	1.0	98	8
4 * 6	24.0	98	8
8 + 8	16.0	98	8
6 - 9	-3.0	98	8
4 * 9	36.0	98	8
2 - 3	-1.0	98	8
4 + 8	12.0	98	8
4 / 2	2.0	98	8
1 + 5	6.0	98	8
2 * 9	18.0	98	8
9 * 3	27.0	99	4
3 * 5	15.0	99	4
3 - 3	0.0	99	4
5 + 1	6.0	99	4
5 - 6	-1.0	99	4
7 / 6	1.1666666666666667	99	4
2 + 2	4.0	99	4
7 + 5	12.0	99	4
1 * 2	2.0	99	4
9 - 8	1.0	99	4
